N 	x	y	u	u*	|u - u*|
1021	3.875	3.75	0	0	0
1022	4	3.75	0	0	0
1023	0	3.875	116.371	116.371	0
1024	0.125	3.875	116.373	117.246	0.873329
1025	0.25	3.875	116.387	117.796	1.40931
1026	0.375	3.875	116.424	118.19	1.76574
1027	0.5	3.875	116.496	118.515	2.01889
1028	0.625	3.875	116.615	118.826	2.21096
1029	0.75	3.875	116.793	119.16	2.36716
1030	0.875	3.875	117.041	119.543	2.50244
1031	1	3.875	117.371	119.995	2.62425
1032	1.125	3.875	117.795	120.529	2.7339
1033	1.25	3.875	118.324	121.152	2.82814
1034	1.375	3.875	118.971	121.873	2.90193
1035	1.5	3.875	119.746	122.697	2.95091
1036	1.625	3.875	120.662	123.635	2.97307
1037	1.75	3.875	121.73	124.7	2.96929
1038	1.875	3.875	122.963	125.906	2.94273
1039	2	3.875	124.371	127.268	2.89715
1040	2.125	3.875	125.967	128.801	2.83407
1041	2.25	3.875	127.762	130.511	2.74961
1042	2.375	3.875	129.768	132.4	2.63235
1043	2.5	3.875	131.996	134.457	2.46116
1044	2.625	3.875	134.459	136.66	2.20096
1045	2.75	3.875	137.168	138.961	1.7932
1046	2.875	3.875	140.135	141.267	1.13224
1047	3	3.875	143.371	143.371	0
1048	3.125	3.875	0	0	0
1049	3.25	3.875	0	0	0
1050	3.375	3.875	0	0	0
1051	3.5	3.875	0	0	0
1052	3.625	3.875	0	0	0
1053	3.75	3.875	0	0	0
1054	3.875	3.875	0	0	0
1055	4	3.875	0	0	0
1056	0	4	128	128	0
1057	0.125	4	128.002	128.002	0
1058	0.25	4	128.016	128.016	0
1059	0.375	4	128.053	128.053	0
1060	0.5	4	128.125	128.125	0
1061	0.625	4	128.244	128.244	0
1062	0.75	4	128.422	128.422	0
1063	0.875	4	128.67	128.67	0
1064	1	4	129	129	0
1065	1.125	4	129.424	129.424	0
1066	1.25	4	129.953	129.953	0
1067	1.375	4	130.6	130.6	0
1068	1.5	4	131.375	131.375	0
1069	1.625	4	132.291	132.291	0
1070	1.75	4	133.359	133.359	0
1071	1.875	4	134.592	134.592	0
1072	2	4	136	136	0
1073	2.125	4	137.596	137.596	0
1074	2.25	4	139.391	139.391	0
1075	2.375	4	141.396	141.396	0
1076	2.5	4	143.625	143.625	0
1077	2.625	4	146.088	146.088	0
1078	2.75	4	148.797	148.797	0
1079	2.875	4	151.764	151.764	0
1080	3	4	155	155	0
1081	3.125	4	0	0	0
1082	3.25	4	0	0	0
1083	3.375	4	0	0	0
1084	3.5	4	0	0	0
1085	3.625	4	0	0	0
1086	3.75	4	0	0	0
1087	3.875	4	0	0	0
1088	4	4	0	0	0
